,adrenal.gland,esophagus,testis,kidney,ovary,pancreas,prostate,liver,colon,heart,lung
ENSG00000143727,7.39576308941776,NA,7.18964040121176,7.49574421725119,7.37851717894959,7.37242887390943,7.32223171520884,7.39319153876274,7.17221829778718,7.75097569180691,6.88520423837907
ENSG00000134575,6.99000567910428,NA,NA,5.76556640301827,5.66107315835997,6.3847490582419,NA,7.03103991565573,NA,6.20879549014591,5.65337534555155
ENSG00000102575,NA,NA,NA,NA,NA,NA,6.32674053178146,NA,NA,NA,6.75580518116438
ENSG00000162836,5.82112688010538,NA,NA,5.76002659895941,5.21729897275604,NA,NA,NA,NA,NA,NA
ENSG00000167107,7.92708279159841,NA,5.85255919767814,7.6458877276365,6.34265814419702,5.92666881157858,6.21153713473279,7.02493661079607,6.85541951846507,7.09391959482692,6.33892531666102
ENSG00000176715,6.98101176411492,NA,5.5645450898739,6.38047437267762,5.94933317525228,6.04651949463647,5.99588033662684,6.84120301077636,6.07395231817041,6.07312910713487,6.47648978202542
ENSG00000151726,7.60055908481037,6.88107165647021,6.54619245442406,7.93594784647175,7.44940885381918,7.91180787557636,7.63556871221852,8.71122909188941,6.5836815798526,9.08697431007684,7.19833463450992
ENSG00000123983,7.18854039689688,NA,6.43076903319182,6.00740886090659,6.8850509713588,6.92222688876504,6.99162516097761,6.26397432595498,6.59678845475257,7.19737453551945,6.48709222587955
ENSG00000068366,6.58699215739537,NA,5.6241516441762,6.42752524252934,6.07264438642606,5.73937200877775,5.83135562801704,NA,5.60475244541802,5.98037505389797,6.1689297048058
ENSG00000197142,NA,NA,NA,NA,NA,NA,NA,7.59169350415836,7.05602822700598,NA,6.47566978048951
ENSG00000164398,NA,NA,NA,NA,6.63225125067121,NA,NA,NA,NA,NA,NA
ENSG00000183747,NA,NA,NA,7.83479438989995,NA,NA,NA,7.97610830191208,NA,NA,NA
ENSG00000066813,NA,NA,NA,8.0086955465097,NA,NA,NA,8.5940261277729,NA,NA,NA
ENSG00000005187,NA,NA,NA,6.71536314476387,NA,NA,NA,6.83057084454931,5.96212984848739,NA,NA
ENSG00000183549,NA,NA,NA,NA,NA,NA,NA,6.82302673158729,NA,NA,NA
ENSG00000154930,5.94567534280385,NA,6.03948217045015,6.88484208383375,7.25447734252954,7.24724749831945,6.78059393147286,NA,6.19181697691198,8.48430575265471,6.27440583005621
ENSG00000131069,6.73980959902136,NA,5.76756449020254,5.87197795159872,6.42392089183303,6.23995563575862,6.06206682881034,7.26902128316381,6.94504193818879,6.11806226081436,5.91298505244826
ENSG00000111058,6.95479226767631,NA,6.40585803532219,6.99528813751026,5.83422501883849,5.65813554850503,5.6415938534255,7.36231736700327,5.4256226633368,7.33391496793929,5.97732130310788
